iter	RMSE
0	2.297563682e-05
1	2.121321519e-05
2	1.968188084e-05
3	1.833380617e-05
4	1.717091718e-05
5	1.615996821e-05
6	1.52904631e-05
7	1.45495518e-05
8	1.391995376e-05
9	1.338949136e-05
10	1.294387081e-05
11	1.257184876e-05
12	1.226275616e-05
13	1.200517571e-05
14	1.17924063e-05
15	1.161461044e-05
16	1.147051137e-05
17	1.135461425e-05
18	1.125553335e-05
19	1.11750514e-05
20	1.111191404e-05
21	1.105757155e-05
22	1.101401676e-05
23	1.097781166e-05
24	1.094857039e-05
25	1.092516763e-05
26	1.090658626e-05
27	1.089094736e-05
28	1.08777133e-05
29	1.08678046e-05
30	1.085821738e-05
31	1.085124297e-05
32	1.084655961e-05
33	1.084174858e-05
34	1.083736224e-05
35	1.083487029e-05
36	1.083213573e-05
37	1.083050002e-05
38	1.08291749e-05
39	1.082635753e-05
40	1.08242637e-05
41	1.082338139e-05
42	1.082205613e-05
43	1.082159372e-05
44	1.082067115e-05
45	1.08180451e-05
46	1.081591232e-05
47	1.081528444e-05
48	1.081350001e-05
49	1.0812133e-05
50	1.081056329e-05
51	1.080992831e-05
52	1.08094158e-05
53	1.080934614e-05
54	1.080927635e-05
55	1.080897526e-05
56	1.080873136e-05
57	1.080805545e-05
58	1.080743274e-05
59	1.080722211e-05
60	1.08069445e-05
61	1.080693788e-05
62	1.080676817e-05
63	1.080640179e-05
64	1.080603494e-05
65	1.080577459e-05
66	1.080546896e-05
67	1.080531129e-05
68	1.080520385e-05
69	1.080518489e-05
70	1.080507501e-05
71	1.080507501e-05
72	1.080507474e-05
73	1.080507474e-05
74	1.080506714e-05
75	1.080480069e-05
76	1.080477054e-05
77	1.080467921e-05
78	1.080467246e-05
79	1.080466815e-05
80	1.08044787e-05
81	1.080447692e-05
82	1.080430885e-05
83	1.080430604e-05
84	1.080417237e-05
85	1.080417237e-05
86	1.080416538e-05
87	1.080412302e-05
88	1.080401482e-05
89	1.080398931e-05
90	1.080398079e-05
91	1.080397761e-05
92	1.080397471e-05
93	1.080393889e-05
94	1.080393805e-05
95	1.0803938e-05
96	1.0803938e-05
97	1.080387253e-05
98	1.080381812e-05
99	1.080381807e-05
100	1.080363881e-05
101	1.080343149e-05
102	1.080343135e-05
103	1.08034057e-05
104	1.080332517e-05
105	1.080331762e-05
106	1.080329092e-05
107	1.080327725e-05
108	1.080327721e-05
109	1.08032745e-05
110	1.080327229e-05
111	1.080327129e-05
112	1.080322718e-05
113	1.08031358e-05
114	1.080312045e-05
115	1.08031174e-05
116	1.080311399e-05
117	1.080310782e-05
118	1.08030649e-05
119	1.080301145e-05
120	1.080296462e-05
121	1.080285051e-05
122	1.080268363e-05
123	1.080263718e-05
124	1.080263715e-05
125	1.080258181e-05
126	1.080258181e-05
127	1.080243255e-05
128	1.080242805e-05
129	1.08024061e-05
130	1.080239462e-05
131	1.080233106e-05
132	1.080231715e-05
133	1.080230446e-05
134	1.080230446e-05
135	1.080224735e-05
136	1.080221426e-05
137	1.080220625e-05
138	1.080209918e-05
139	1.080205066e-05
140	1.080201839e-05
141	1.08019634e-05
142	1.080190609e-05
143	1.080190464e-05
144	1.080182486e-05
145	1.080181913e-05
146	1.080165423e-05
147	1.080164934e-05
148	1.080161456e-05
149	1.080159636e-05
150	1.080159232e-05
151	1.080156038e-05
152	1.080141978e-05
153	1.080138967e-05
154	1.080138012e-05
155	1.080137799e-05
156	1.080135446e-05
157	1.08013438e-05
158	1.08012447e-05
159	1.080117668e-05
160	1.080109364e-05
161	1.080106067e-05
162	1.080104521e-05
163	1.080101984e-05
164	1.080092957e-05
165	1.080089879e-05
166	1.08008817e-05
167	1.080074967e-05
168	1.080070968e-05
169	1.080070813e-05
170	1.080070326e-05
171	1.080066865e-05
172	1.080066533e-05
173	1.080066243e-05
174	1.080065404e-05
175	1.080048526e-05
176	1.080047812e-05
177	1.080047161e-05
178	1.080043881e-05
179	1.080043644e-05
180	1.080043488e-05
181	1.080033276e-05
182	1.080025923e-05
183	1.080025548e-05
184	1.080019893e-05
185	1.080018078e-05
186	1.080017783e-05
187	1.080003265e-05
188	1.080001334e-05
189	1.079986145e-05
190	1.079983341e-05
191	1.079969794e-05
192	1.079967296e-05
193	1.079964233e-05
194	1.079955879e-05
195	1.079955728e-05
196	1.079948656e-05
197	1.079947115e-05
198	1.079943842e-05
199	1.079936863e-05
