iter	Passed	Remaining
0	110	22020
1	226	22415
2	308	20264
3	392	19211
4	483	18874
5	574	18576
6	676	18664
7	780	18736
8	876	18598
9	989	18803
10	1085	18646
11	1149	18004
12	1228	17670
13	1312	17433
14	1375	16965
15	1458	16770
16	1573	16933
17	1628	16462
18	1734	16526
19	1848	16638
20	1920	16372
21	2028	16414
22	2112	16256
23	2213	16231
24	2330	16315
25	2443	16355
26	2519	16145
27	2595	15946
28	2690	15865
29	2760	15640
30	2868	15636
31	2969	15589
32	3001	15187
33	3108	15174
34	3208	15124
35	3240	14762
36	3328	14664
37	3360	14327
38	3390	13996
39	3488	13955
40	3604	13976
41	3648	13723
42	3751	13697
43	3788	13431
44	3872	13338
45	3958	13253
46	4030	13120
47	4115	13032
48	4230	13035
49	4327	12981
50	4437	12964
51	4504	12821
52	4553	12628
53	4591	12413
54	4685	12353
55	4742	12196
56	4796	12033
57	4889	11970
58	5002	11954
59	5104	11910
60	5184	11814
61	5252	11691
62	5305	11538
63	5423	11524
64	5503	11430
65	5613	11396
66	5694	11304
67	5805	11270
68	5899	11199
69	5973	11093
70	6045	10984
71	6069	10790
72	6145	10691
73	6165	10498
74	6242	10404
75	6328	10326
76	6433	10277
77	6494	10158
78	6575	10071
79	6648	9973
80	6740	9903
81	6808	9796
82	6928	9766
83	7007	9677
84	7117	9630
85	7137	9461
86	7206	9360
87	7288	9275
88	7358	9177
89	7465	9124
90	7507	8992
91	7579	8897
92	7633	8782
93	7740	8728
94	7781	8600
95	7813	8464
96	7848	8333
97	7890	8212
98	7973	8134
99	8007	8007
100	8130	7969
101	8343	8016
102	8412	7922
103	8515	7860
104	8612	7792
105	8678	7696
106	8787	7637
107	8884	7567
108	8921	7447
109	9032	7390
110	9084	7283
111	9126	7170
112	9227	7104
113	9336	7043
114	9431	6971
115	9505	6883
116	9560	6782
117	9639	6698
118	9737	6628
119	9821	6547
120	9918	6475
121	10015	6403
122	10098	6321
123	10195	6248
124	10230	6138
125	10308	6054
126	10328	5936
127	10406	5853
128	10482	5769
129	10561	5686
130	10635	5601
131	10713	5519
132	10788	5435
133	10885	5361
134	10933	5264
135	11042	5196
136	11119	5113
137	11196	5030
138	11279	4950
139	11365	4871
140	11443	4788
141	11522	4706
142	11600	4623
143	11675	4540
144	11751	4457
145	11817	4370
146	11894	4288
147	11958	4201
148	12044	4122
149	12119	4039
150	12172	3950
151	12264	3873
152	12381	3803
153	12465	3723
154	12554	3644
155	12627	3561
156	12706	3480
157	12786	3398
158	12883	3322
159	12971	3242
160	13048	3160
161	13151	3085
162	13234	3004
163	13311	2922
164	13391	2840
165	13489	2762
166	13570	2681
167	13669	2603
168	13747	2521
169	13822	2439
170	13899	2357
171	13975	2275
172	14026	2189
173	14081	2104
174	14161	2023
175	14241	1941
176	14319	1860
177	14395	1779
178	14474	1698
179	14527	1614
180	14601	1532
181	14679	1451
182	14757	1370
183	14831	1289
184	14909	1208
185	14985	1127
186	15060	1046
187	15149	966
188	15224	886
189	15310	805
190	15386	725
191	15467	644
192	15554	564
193	15633	483
194	15717	403
195	15770	321
196	15848	241
197	15924	160
198	16003	80
199	16085	0
